Team,OVR Rating,OFF Rating,DEF Rating
Mt. Vernon,15.35,6.90,8.45
Skyline,15.20,5.21,9.99
East Newton,14.48,5.66,8.81
Warsaw,13.31,5.40,7.91
Clever,12.13,6.23,5.91
Fair Grove,11.87,4.56,7.31
Miller,11.45,4.86,6.59
El Dorado Springs,11.07,6.38,4.69
Kennett,11.05,4.63,6.42
Diamond,9.32,3.43,5.89
Clearwater with South Iron,8.91,3.67,5.24
Springfield Catholic,8.75,3.31,5.44
Lockwood,8.36,2.89,5.47
Crest Ridge,7.93,1.72,6.21
Thayer,7.66,0.22,7.44
Oak Ridge,7.55,1.80,5.75
Sweet Springs,7.31,2.38,4.93
Ash Grove,7.02,2.37,4.65
Plato,6.93,2.87,4.06
Lone Jack,6.77,4.15,2.62
Buffalo,6.64,0.95,5.68
Central (New Madrid County),6.61,3.50,3.11
Lamar,6.51,2.81,3.70
Adrian,6.43,3.44,2.99
Ava,6.24,2.00,4.25
Houston,6.22,4.20,2.03
Lincoln,5.95,1.23,4.72
Purdy,5.85,0.09,5.75
East Prairie,5.53,1.50,4.04
Strafford,5.09,2.34,2.75
Butler,4.86,1.17,3.69
Bakersfield,4.79,0.72,4.07
Stockton with Fair Play,4.64,1.77,2.87
Reeds Spring,4.54,2.33,2.21
Central (Park Hills),4.47,0.78,3.69
Cole Camp,4.46,1.08,3.38
Green Ridge,4.45,0.41,4.04
Mountain Grove,3.91,1.08,2.84
Willow Springs,3.87,1.07,2.80
Kingsville,3.85,-0.04,3.88
Liberal,3.79,-0.45,4.24
West County,3.64,2.69,0.95
Bernie,3.63,1.46,2.17
Concordia,3.47,1.63,1.84
Northwest (Hughesville),3.30,0.18,3.12
Pierce City,2.99,1.05,1.95
Salem,2.65,0.29,2.36
Forsyth,2.46,0.34,2.11
Bourbon,2.11,0.03,2.07
Santa Fe,2.05,-0.87,2.92
Exeter,2.04,-0.67,2.71
Malden,1.96,2.24,-0.28
Ste. Genevieve,1.86,0.37,1.49
Holcomb,1.84,-0.59,2.43
Sarcoxie,1.67,0.94,0.73
Scott City,1.45,0.14,1.31
Leopold,1.16,0.83,0.33
Crane,1.15,-1.21,2.36
Marionville,1.08,-0.44,1.52
Versailles,0.90,0.01,0.89
Portageville with Risco,0.75,0.14,0.61
Valle Catholic,0.68,-0.43,1.11
Windsor,0.58,0.13,0.45
Tipton,0.42,0.91,-0.49
Hollister,0.32,-0.42,0.74
Oran,0.23,1.21,-0.98
Gainesville,-0.05,-0.83,0.79
Alton,-0.15,0.32,-0.47
Mansfield,-0.18,0.93,-1.10
Jasper,-0.91,1.24,-2.14
Greenville,-1.51,1.20,-2.71
Midway,-1.79,2.38,-4.17
Stover,-1.89,-0.58,-1.31
Potosi,-1.90,-0.17,-1.73
South Pemiscot,-2.07,-0.14,-1.93
Pleasant Hope,-2.12,-0.22,-1.90
Wheaton,-2.14,-1.18,-0.96
Licking,-2.63,-1.42,-1.21
Southwest (Washburn),-2.87,-2.14,-0.73
Greenfield with Golden City,-2.97,0.00,-2.98
Puxico,-3.07,-1.62,-1.44
Advance,-3.70,-1.10,-2.60
Fordland,-3.81,-2.79,-1.02
Wellington-Napoleon,-3.94,-2.93,-1.01
Sparta,-4.06,0.20,-4.26
Campbell,-4.07,-1.08,-2.99
Spokane,-4.35,-1.58,-2.77
Bloomfield,-4.46,-3.63,-0.84
Hume,-4.51,-0.66,-3.85
Dora,-4.53,2.95,-7.48
Billings with Hurley,-4.94,-3.46,-1.48
New Heights Christian,-5.09,-1.92,-3.17
St. Paul Lutheran (Concordia),-6.20,-1.43,-4.77
Osceola,-6.44,-0.56,-5.88
Woodland,-6.83,-2.67,-4.17
Caruthersville,-6.95,-3.34,-3.61
Seymour,-7.17,-2.83,-4.34
Delta,-7.44,-4.11,-3.33
Liberty (Mountain View),-7.63,-0.97,-6.66
Summersville,-8.30,-4.36,-3.94
Cabool,-8.34,-3.52,-4.82
Archie,-8.81,-0.91,-7.90
Chadwick,-8.87,-3.51,-5.35
Winona,-9.11,-3.37,-5.74
Senath-Hornersville,-9.13,-3.91,-5.22
Meadow Heights,-9.19,-1.09,-8.11
Grandview (Hillsboro),-9.48,-4.89,-4.59
Couch,-9.73,-5.60,-4.13
Arcadia Valley,-10.22,-2.92,-7.30
Leeton,-10.72,-3.22,-7.50
Ellington,-10.92,-2.96,-7.95
Scott County Central,-10.92,-5.26,-5.66
Otterville,-11.17,-4.30,-6.87
Koshkonong,-11.45,-6.82,-4.62
Richland (Essex),-12.41,-4.96,-7.45
Rich Hill,-12.50,-2.81,-9.69
Lakeland,-13.02,-4.88,-8.15
Blue Eye,-13.06,-6.47,-6.59
Conway,-13.65,-3.55,-10.10
Dexter,-13.69,-4.54,-9.15
Verona,-13.73,-4.24,-9.50
Bismarck,-14.75,-3.72,-11.03
Steelville with Viburnum,-15.81,-3.70,-12.12
Prairie Home with Bunceton,-16.50,-5.57,-10.93
North Pemiscot,-16.51,-4.39,-12.12
Orrick,-16.64,-6.36,-10.28
Delta (Deering),-17.08,-8.01,-9.06
Galena,-18.53,-7.95,-10.58
Kingston,-20.31,-7.64,-12.67
Clarkton,-20.58,-9.75,-10.83
Charleston,-22.62,-8.60,-14.02
Gideon,-22.90,-8.24,-14.66
