Team,OVR Rating,OFF Rating,DEF Rating
Lockwood,8.62,2.96,5.66
Crest Ridge,8.46,2.07,6.38
Oak Ridge,8.09,2.20,5.89
Sweet Springs,8.06,2.79,5.27
Plato,6.70,2.90,3.80
Lincoln,6.51,1.55,4.96
Purdy,6.48,0.60,5.88
Bakersfield,4.87,0.51,4.36
Green Ridge,4.61,0.57,4.04
Liberal,4.27,-0.29,4.56
Concordia,3.78,1.79,1.99
Bernie,3.64,1.51,2.13
Kingsville,3.23,-0.20,3.43
Northwest (Hughesville),3.04,0.13,2.91
Exeter,2.54,-0.61,3.15
Santa Fe,2.21,-0.87,3.08
Holcomb,1.74,-0.63,2.37
Leopold,1.54,1.07,0.47
Crane,0.97,-1.28,2.25
Oran,0.85,1.76,-0.91
Alton,0.51,0.75,-0.24
Mansfield,0.34,0.90,-0.55
Jasper,-0.62,1.22,-1.84
Greenville,-0.87,2.41,-3.28
Midway,-1.58,2.39,-3.97
Pleasant Hope,-1.79,0.02,-1.82
Wheaton,-1.89,-0.77,-1.12
South Pemiscot,-2.35,-0.12,-2.23
Greenfield with Golden City,-2.48,0.07,-2.55
Wellington-Napoleon,-3.80,-2.95,-0.85
Advance,-3.80,-1.01,-2.79
Campbell,-3.85,-0.99,-2.86
Hume,-4.22,-0.55,-3.66
Dora,-4.39,2.91,-7.30
New Heights Christian,-4.65,-1.74,-2.91
Billings with Hurley,-4.79,-3.13,-1.66
Bloomfield,-5.24,-3.97,-1.27
Osceola,-6.11,-0.41,-5.71
St. Paul Lutheran (Concordia),-6.13,-1.49,-4.64
Delta,-8.07,-4.24,-3.83
Summersville,-8.16,-4.30,-3.86
Archie,-8.49,-0.83,-7.66
Winona,-8.57,-3.40,-5.17
Chadwick,-8.59,-3.42,-5.17
Meadow Heights,-9.12,-1.16,-7.96
Senath-Hornersville,-9.30,-3.90,-5.39
Couch,-10.18,-5.46,-4.71
Leeton,-10.43,-3.16,-7.27
Ellington,-10.62,-2.91,-7.70
Scott County Central,-10.78,-5.09,-5.69
Otterville,-10.95,-4.28,-6.67
Koshkonong,-11.38,-6.89,-4.49
Rich Hill,-12.26,-2.71,-9.54
Blue Eye,-12.30,-6.43,-5.87
Richland (Essex),-12.55,-4.79,-7.76
Lakeland,-12.79,-4.83,-7.96
Verona,-13.27,-4.03,-9.24
Bismarck,-14.80,-3.81,-10.99
North Pemiscot,-16.03,-3.89,-12.14
Prairie Home with Bunceton,-16.12,-5.44,-10.68
Orrick,-16.49,-6.38,-10.11
Delta (Deering),-17.02,-8.12,-8.90
Galena,-18.06,-7.72,-10.34
Clarkton,-20.60,-9.99,-10.61
Gideon,-23.63,-8.61,-15.02
Charleston,-23.65,-9.18,-14.47
