Date,Home Team,Home Score,Away Team,Away Score
2026-03-19,Plato,20,Bismarck,1
2026-03-19,Ash Grove,4,East Newton,6
2026-03-19,Cabool,2,Gainesville,12
2026-03-19,Kingston,0,Greenville,22
2026-03-19,Crane,5,Hollister,2
2026-03-19,Versailles,2,Lincoln,12
2026-03-19,Galena,0,Mansfield,15
2026-03-19,Stockton with Fair Play,1,Mt. Vernon,11
2026-03-19,Charleston,0,Portageville with Risco,15
2026-03-20,Lockwood,9,Adrian,6
2026-03-20,Central (New Madrid County),1,Adrian,5
2026-03-20,Osceola,20,Archie,16
2026-03-20,El Dorado Springs,14,Ash Grove,4
2026-03-20,Mt. Vernon,14,Ava,1
2026-03-20,Plato,7,Ava,8
2026-03-20,Leopold,11,Bernie,9
2026-03-20,Ellington,27,Bismarck,8
2026-03-20,Rich Hill,0,Central (New Madrid County),18
2026-03-20,Prairie Home with Bunceton,0,Cole Camp,20
2026-03-20,Exeter,4,Concordia,7
2026-03-20,Mansfield,15,Conway,9
2026-03-20,Sparta,20,Conway,3
2026-03-20,Concordia,0,Diamond,3
2026-03-20,Jasper,0,Diamond,16
2026-03-20,Lamar,0,East Newton,9
2026-03-20,Pierce City,0,East Newton,7
2026-03-20,Mansfield,12,Gainesville,2
2026-03-20,Sparta,4,Gainesville,22
2026-03-20,Exeter,8,Jasper,4
2026-03-20,Leeton,14,Lakeland,11
2026-03-20,Liberal,0,Lamar,1
2026-03-20,Pierce City,2,Liberal,3
2026-03-20,Alton,19,Liberty (Mountain View),11
2026-03-20,Rich Hill,0,Lockwood,14
2026-03-20,Northwest (Hughesville),7,Lone Jack,17
2026-03-20,South Pemiscot,3,Malden,10
2026-03-20,Sarcoxie,8,Marionville,7
2026-03-20,Plato,12,Mt. Vernon,17
2026-03-20,Senath-Hornersville,19,North Pemiscot,3
2026-03-20,Advance,7,Oran,17
2026-03-20,Hollister,2,Pleasant Hope,7
2026-03-20,Marionville,0,Purdy,5
2026-03-20,Sweet Springs,0,Purdy,1
2026-03-20,Kingsville,5,Santa Fe,1
2026-03-20,Sweet Springs,2,Sarcoxie,0
2026-03-20,Versailles,2,Skyline,12
2026-03-20,Miller,10,Strafford,7
2026-03-20,Arcadia Valley,9,Woodland,19
2026-03-21,Lamar,6,Adrian,3
2026-03-21,Concordia,4,Adrian,1
2026-03-21,Cabool,0,Bakersfield,15
2026-03-21,Liberty (Mountain View),1,Bakersfield,11
2026-03-21,Thayer,9,Bakersfield,1
2026-03-21,Liberty (Mountain View),6,Cabool,18
2026-03-21,Thayer,15,Cabool,0
2026-03-21,Exeter,4,Central (New Madrid County),1
2026-03-21,Sarcoxie,1,Central (New Madrid County),13
2026-03-21,Scott County Central,16,Charleston,1
2026-03-21,South Pemiscot,22,Charleston,0
2026-03-21,Skyline,16,Clever,4
2026-03-21,Stockton with Fair Play,9,Clever,10
2026-03-21,Strafford,1,Clever,16
2026-03-21,Sweet Springs,22,Concordia,6
2026-03-21,Licking,20,Dora,23
2026-03-21,Purdy,2,East Newton,15
2026-03-21,Diamond,0,East Newton,8
2026-03-21,Skyline,7,Fair Grove,3
2026-03-21,Strafford,0,Fair Grove,10
2026-03-21,Fair Grove,12,Forsyth,5
2026-03-21,Skyline,12,Forsyth,0
2026-03-21,Stockton with Fair Play,10,Forsyth,9
2026-03-21,Ste. Genevieve,3,Holcomb,5
2026-03-21,Pierce City,12,Jasper,2
2026-03-21,Rich Hill,20,Jasper,9
2026-03-21,Sweet Springs,10,Lamar,1
2026-03-21,Exeter,3,Liberal,3
2026-03-21,Sarcoxie,4,Liberal,5
